PVS,dataset,Resolution,Framerate,bitrate,video_codec,quant,mean_qp,p1204_3_score
isometric_01_3840x2160_60_yuv420p.yuv_AV1_30M,lofps_4k_testnum_009,8294400,60,30.0,AV1,0.5116439920394115,130.46921797004993,4.259882971669073
isometric_01_3840x2160_60_yuv420p.yuv_AV1_5M,lofps_4k_testnum_005,8294400,60,5.0,AV1,0.7963133339858406,203.05990016638933,3.708884219256325
rts_01_1280x720_120_yuv420p.yuv_AV1_0.1M,hifps_120_testnum_000,921600,120,0.1,AV1,0.9209090463829162,234.8318068276436,2.253741455094446
rts_01_1280x720_120_yuv420p.yuv_AV1_0.4M,hifps_120_testnum_004,921600,120,0.4,AV1,0.649883267211964,165.7202331390508,3.09452319759552
rts_01_1280x720_30_yuv420p.yuv_AV1_0.05M,hifps_120_testnum_003,921600,30,0.05,AV1,0.8974771241830065,228.85666666666663,2.3509619047408448
rts_01_1280x720_30_yuv420p.yuv_AV1_0.1M,lofps_4k_testnum_005,921600,30,0.1,AV1,0.7870196078431373,200.69,2.741885905704628
rts_01_1280x720_30_yuv420p.yuv_AV1_1M,lofps_4k_testnum_005,921600,30,1.0,AV1,0.3762483660130719,95.94333333333331,3.4981945663084058
rts_01_1280x720_60_yuv420p.yuv_AV1_0.08M,hifps_120_testnum_000,921600,60,0.08,AV1,0.8843691886072232,225.514143094842,2.403077772647149
rts_01_1280x720_60_yuv420p.yuv_AV1_0.15M,hifps_120_testnum_003,921600,60,0.15,AV1,0.7789305406022642,198.62728785357737,2.7664483918902345
rts_01_1280x720_60_yuv420p.yuv_AV1_0.3M,hifps_120_testnum_000,921600,60,0.3,AV1,0.6476982806433721,165.1630615640599,3.0991467147172416
rts_01_1280x720_60_yuv420p.yuv_AV1_1M,lofps_4k_testnum_009,921600,60,1.0,AV1,0.4325862125216143,110.30948419301164,3.43906639124086
rts_01_1920x1080_60_yuv420p.yuv_AV1_0.2M,lofps_4k_testnum_007,2073600,60,0.2,AV1,0.8406120518090764,214.35607321131448,3.189265120005599
rts_01_1920x1080_60_yuv420p.yuv_AV1_0.5M,lofps_4K_testnum_014,2073600,60,0.5,AV1,0.6694332974454341,170.7054908485857,3.6674787538847946
